dato_str,municipality_id,nedbor_mm
2018-09-02,0751,0.0
2018-09-02,0153,0.0
2018-08-31,0615,0.0
2018-09-02,0730,0.1
2018-09-01,0540,0.0
2018-09-02,0561,0.3
2018-09-02,0461,0.0
2018-09-17,0851,0.0
2018-09-16,0153,0.0
2018-09-15,0217,0.1
2018-09-16,0615,0.1
2018-09-16,0813,0.2
2018-09-16,0657,0.1
2018-09-14,0561,3.5
2018-09-23,0751,0.2
2018-09-23,0101,8.0
2018-09-23,0846,0.0
2018-09-24,0461,0.0
2018-09-22,0730,1.1
2018-09-23,0540,0.4
2018-09-21,0630,5.5
2018-09-30,0851,0.9
2018-09-30,0153,0.2
2018-10-01,0217,6.4
2018-09-30,0561,6.9
2018-09-29,0657,1.2
2018-09-30,0813,1.0
2018-09-28,0630,0.0
2018-10-07,0851,2.0
2018-10-07,0846,0.4
2018-10-07,0615,0.0
2018-10-07,0101,0.0
2018-10-05,0540,0.5
2018-10-06,0461,6.5
2018-10-07,0657,0.2
2018-10-22,0153,12.5
2018-10-21,0730,0.6
2018-10-21,0751,0.1
2018-10-19,0561,0.6
2018-10-21,0813,3.1
2018-10-21,0630,0.3
2018-10-20,0217,0.0
2018-10-28,0851,3.1
2018-10-28,0846,2.2
2018-10-27,0615,4.8
2018-10-28,0730,1.3
2018-10-28,0101,0.3
2018-10-29,0657,2.3
2018-10-26,0540,0.3
2018-11-04,0751,0.1
2018-11-04,0153,0.2
2018-11-02,0813,0.0
2018-11-04,0217,0.4
2018-11-02,0461,0.0
2018-11-05,0630,0.0
2018-11-04,0561,0.1
2018-11-11,0851,0.4
2018-11-11,0846,0.6
2018-11-10,0615,5.2
2018-11-11,0657,2.0
2018-11-11,0461,5.5
2018-11-09,0153,0.3
2018-11-11,0730,0.9
2018-11-26,0751,0.0
2018-11-24,0846,0.4
2018-11-25,0101,0.0
2018-11-25,0813,0.0
2018-11-25,0217,0.0
2018-11-23,0630,1.3
2018-11-25,0540,0.0
2018-12-03,0751,0.0
2018-12-02,0153,1.2
2018-12-02,0615,3.4
2018-11-30,0561,5.9
2018-12-01,0461,3.5
2018-12-02,0730,4.0
2018-12-02,0540,3.5
2018-12-09,0851,0.0
2018-12-08,0846,0.4
2018-12-09,0101,0.9
2018-12-09,0813,0.0
2018-12-07,0657,11.5
2018-12-10,0217,0.0
2018-12-09,0630,0.3
2018-12-17,0751,0.0
2018-12-16,0153,0.0
2018-12-16,0615,0.0
2018-12-15,0730,0.1
2018-12-14,0461,0.2
2018-12-16,0540,0.1
2018-12-16,0561,0.0
2019-02-10,0851,0.0
2019-02-08,0751,10.7
2019-02-10,0846,0.1
2019-02-10,0101,0.3
2019-02-11,0813,0.4
2019-02-10,0217,0.3
2019-02-09,0630,0.6
2019-02-22,0851,0.0
2019-02-24,0751,0.0
2019-02-24,0153,0.0
2019-02-24,0846,0.0
2019-02-24,0615,0.0
2019-02-25,0101,0.0
2019-02-23,0630,0.0
2019-03-01,0851,0.2
2019-03-03,0101,10.5
2019-03-04,0657,8.6
2019-03-03,0813,11.5
2019-03-03,0461,9.6
2019-03-02,0561,11.2
2019-03-03,0540,16.9
2019-03-11,0751,10.0
2019-03-08,0846,5.8
2019-03-10,0153,0.0
2019-03-10,0730,0.1
2019-03-10,0217,0.1
2019-03-09,0630,2.2
2019-03-10,0540,0.0
2019-03-17,0851,0.2
2019-03-17,0813,0.1
2019-03-17,0657,0.7
2019-03-17,0461,1.1
2019-03-17,0561,1.8
2019-03-17,0615,1.3
2019-03-17,0101,0.7
2019-02-15,0540,0.0
2019-02-16,0217,0.0
2019-02-17,0615,0.0
2019-02-17,0461,0.0
2019-02-17,0730,0.1
2019-02-17,0561,0.0
2019-02-18,0657,1.3
2019-03-29,0153,0.0
2019-03-30,0657,0.0
2019-03-31,0101,0.0
2019-03-31,0540,0.0
2019-04-01,0751,0.2
2019-03-31,0813,0.0
